k,transform,cell,mse_mean,mse_std,nll_mean,n_seeds
3,None,A,0.6907630662123362,0.4592281256957577,0.9699973066647848,3
3,None,B,1.9097812175750732,1.2000033909509238,0.9172257383664449,3
3,None,C,4.429132620493571,0.12550215093596945,1.428921063741048,3
3,None,D,4.081142981847127,0.23247266362725236,1.350579818089803,3
3,None,E,0.5014776984850565,0.14038244366324062,0.997276782989502,3
3,None,F,1.8485687375068665,1.2264932947964722,1.589969555536906,3
3,None,G,4.165321985880534,0.25087899075303066,1.5075410604476929,3
3,None,H,4.700768788655599,0.37196223187990957,1.7269270420074463,3
3,symlog,A,0.7914707958698273,0.558373134257403,1.0129324992497761,3
3,symlog,B,2.0457478761672974,1.2216836253950059,1.0191261768341064,3
3,symlog,C,4.490876038869222,0.2987835197234204,1.3835859298706055,3
3,symlog,D,4.116752465565999,0.09769591164840137,1.364052414894104,3
3,symlog,E,1.6720009247461955,0.23220816870374353,1.5344725449879963,3
3,symlog,F,0.40402813752492267,0.06570379975028101,1.0338892936706543,3
3,symlog,G,4.211127122243245,0.055315875431442174,1.474468986193339,3
3,symlog,H,4.072367588678996,0.246373926867205,1.362566630045573,3
5,None,A,0.3969054917494456,0.07250638935095072,0.9478769898414612,3
5,None,B,1.4223108688990276,0.042114108678284815,0.9770948688189188,3
5,None,C,2.7752057711283364,1.0405404062404033,1.2585465908050537,3
5,None,D,1.8983002503712971,0.27756117025192273,1.1705516576766968,3
5,None,E,1.3750986456871033,0.7445497243279956,1.197009007136027,3
5,None,F,1.9183260997136433,0.6371459287086931,1.2826080719629924,3
5,None,G,1.8580238024393718,0.14797003407498355,1.2814167737960815,3
5,None,H,2.15895676612854,0.36458488993404264,1.3868472576141357,3
5,symlog,A,0.4658302466074626,0.14052523278906012,0.9376876552899679,3
5,symlog,B,1.1375405093034108,0.5224049111268013,1.018638253211975,3
5,symlog,C,2.6678810119628906,0.8143617826442652,1.3981284697850545,3
5,symlog,D,2.061884045600891,0.16983314615748457,1.1898835897445679,3
5,symlog,E,3.200931658347448,2.4566702214424514,1.4197554190953572,3
5,symlog,F,1.2284871836503346,0.5710633519075419,1.133285403251648,3
5,symlog,G,1.8957114617029827,0.0899302408462695,1.3328911066055298,3
5,symlog,H,1.8420068820317586,0.11909786499455867,1.2062915960947673,3
