dataset,k,data_centroid,learned_mean,gap,mse
heteroscedastic,3,-0.0289,0.1976,0.2265,1.9872
heteroscedastic,5,-0.0809,-0.4315,0.3506,2.3428
heteroscedastic,7,-0.0884,-0.1252,0.0368,2.4954
bimodal,3,0.0577,0.0059,0.0518,2.3799
bimodal,5,0.0541,0.1693,0.1152,2.3699
bimodal,7,0.0489,-0.1434,0.1922,2.3886
piecewise,3,-0.2416,-1.0176,0.776,0.3239
piecewise,5,-0.296,-0.4891,0.193,0.2847
piecewise,7,-0.3164,-0.2002,0.1162,0.3015
exponential,3,1.4651,2.8433,1.3782,0.446
exponential,5,1.3557,3.9864,2.6307,0.5997
exponential,7,1.3238,1.7885,0.4647,0.5804
