dataset,strategy,selection,regularization,loss,beta,target_transform,opt_strategy,mse,nll,crps,nll_mixture,mean_k,seconds,error
heteroscedastic,separate_heads,none,none,nll,0.5,none,regression_only,1.5920642614364624,1.3517481088638306,0.6351162866110532,1.6885290038860261,,9.135689066024497,
heteroscedastic,separate_heads,soft_gating,none,nll,0.5,none,regression_only,1.633374571800232,1.4048477411270142,0.645435633059914,,210274448.0,45.712911913054995,
heteroscedastic,separate_heads,soft_gating,elbo,nll,0.5,none,regression_only,1.6230677366256714,1.3775367736816406,0.6385403330636432,,2.0,48.043979077017866,
heteroscedastic,separate_heads,ste,none,nll,0.5,none,regression_only,1.651134967803955,1.5043474435806274,0.6598156614991705,,187904832.0,23.58370242197998,
heteroscedastic,separate_heads,ste,elbo,nll,0.5,none,regression_only,2.481947898864746,1.8515583276748657,0.8398497991661703,,76056720.0,35.81836413103156,
heteroscedastic,separate_heads,reinforce,none,nll,0.5,none,regression_only,2.4880106449127197,1.8587602376937866,0.843294256007973,,174483056.0,50.686585300951265,
heteroscedastic,separate_heads,reinforce,elbo,nll,0.5,none,regression_only,2.4880106449127197,1.8587602376937866,0.843294256007973,,174483056.0,52.18901672505308,
heteroscedastic,single_head_final_output,none,none,nll,0.5,none,regression_only,2.2988364696502686,1.5828927755355835,0.7668565028106653,,,4.858515332103707,
heteroscedastic,single_head_final_output,soft_gating,none,nll,0.5,none,,,,,,,,The size of tensor a (7) must match the size of tensor b (32) at non-singleton dimension 1
heteroscedastic,single_head_final_output,soft_gating,elbo,nll,0.5,none,,,,,,,,The size of tensor a (7) must match the size of tensor b (32) at non-singleton dimension 1
heteroscedastic,single_head_final_output,ste,none,nll,0.5,none,,,,,,,,The size of tensor a (7) must match the size of tensor b (32) at non-singleton dimension 1
heteroscedastic,single_head_final_output,ste,elbo,nll,0.5,none,,,,,,,,The size of tensor a (7) must match the size of tensor b (32) at non-singleton dimension 1
heteroscedastic,single_head_final_output,reinforce,none,nll,0.5,none,,,,,,,,The size of tensor a (7) must match the size of tensor b (32) at non-singleton dimension 1
heteroscedastic,single_head_final_output,reinforce,elbo,nll,0.5,none,,,,,,,,The size of tensor a (7) must match the size of tensor b (32) at non-singleton dimension 1
bimodal,separate_heads,none,none,nll,0.5,none,regression_only,2.3625292778015137,1.8499385118484497,0.9245081150399073,1.9045008198795599,,5.611074978951365,
bimodal,separate_heads,soft_gating,none,nll,0.5,none,regression_only,2.436962842941284,1.8662521839141846,0.9406503429855286,,4.733333587646484,17.31068187195342,
bimodal,separate_heads,soft_gating,elbo,nll,0.5,none,regression_only,2.3581039905548096,1.8482747077941895,0.9214565878755442,,2.0,20.704169392003678,
bimodal,separate_heads,ste,none,nll,0.5,none,regression_only,2.3928780555725098,1.8574849367141724,0.9323246409759641,,478709920.0,32.50699819007423,
bimodal,separate_heads,ste,elbo,nll,0.5,none,regression_only,2.357086181640625,1.8533953428268433,0.9149812704823981,,98426336.0,38.72799990396015,
bimodal,separate_heads,reinforce,none,nll,0.5,none,regression_only,2.332836627960205,1.8503150939941406,0.9091332217180896,,228170144.0,16.445076080970466,
bimodal,separate_heads,reinforce,elbo,nll,0.5,none,regression_only,2.3275535106658936,1.8473180532455444,0.9147590816296514,,143165584.0,46.291201333049685,
bimodal,single_head_final_output,none,none,nll,0.5,none,regression_only,2.3409488201141357,1.8449314832687378,0.9203606505862835,,,4.139462883002125,
bimodal,single_head_final_output,soft_gating,none,nll,0.5,none,,,,,,,,The size of tensor a (7) must match the size of tensor b (32) at non-singleton dimension 1
bimodal,single_head_final_output,soft_gating,elbo,nll,0.5,none,,,,,,,,The size of tensor a (7) must match the size of tensor b (32) at non-singleton dimension 1
bimodal,single_head_final_output,ste,none,nll,0.5,none,,,,,,,,The size of tensor a (7) must match the size of tensor b (32) at non-singleton dimension 1
bimodal,single_head_final_output,ste,elbo,nll,0.5,none,,,,,,,,The size of tensor a (7) must match the size of tensor b (32) at non-singleton dimension 1
bimodal,single_head_final_output,reinforce,none,nll,0.5,none,,,,,,,,The size of tensor a (7) must match the size of tensor b (32) at non-singleton dimension 1
bimodal,single_head_final_output,reinforce,elbo,nll,0.5,none,,,,,,,,The size of tensor a (7) must match the size of tensor b (32) at non-singleton dimension 1
b1_gravitational,separate_heads,none,none,nll,0.5,none,regression_only,0.11901714652776718,0.06317982822656631,0.1804997964519246,0.4907386377668081,,9.182471431908198,
b1_gravitational,separate_heads,soft_gating,none,nll,0.5,none,regression_only,,,,,2.0,17.354403553996235,
b1_gravitational,separate_heads,soft_gating,elbo,nll,0.5,none,,,,,,,,"Expected parameter probs (Tensor of shape (32, 7)) of distribution Categorical(probs: torch.Size([32, 7])) to satisfy the constraint Simplex(), but found invalid values:
tensor([[nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan]], device='xpu:0',
       grad_fn=<DivBackward0>)"
b1_gravitational,separate_heads,ste,none,nll,0.5,none,,,,,,,,element 0 of tensors does not require grad and does not have a grad_fn
b1_gravitational,separate_heads,ste,elbo,nll,0.5,none,,,,,,,,"Expected parameter probs (Tensor of shape (32, 7)) of distribution Categorical(probs: torch.Size([32, 7])) to satisfy the constraint Simplex(), but found invalid values:
tensor([[nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan],
        [nan, nan, nan, nan, nan, nan, nan]], device='xpu:0',
       grad_fn=<DivBackward0>)"
b1_gravitational,separate_heads,reinforce,none,nll,0.5,none,regression_only,0.29337480664253235,0.600906252861023,0.1918526074420874,,45335768.0,34.55959207192063,
b1_gravitational,separate_heads,reinforce,elbo,nll,0.5,none,regression_only,0.29337480664253235,0.600906252861023,0.1918526074420874,,45335768.0,36.0760235079797,
b1_gravitational,single_head_final_output,none,none,nll,0.5,none,regression_only,0.06562093645334244,-0.47682008147239685,0.11642152236752978,,,8.798514881986193,
b1_gravitational,single_head_final_output,soft_gating,none,nll,0.5,none,,,,,,,,The size of tensor a (7) must match the size of tensor b (32) at non-singleton dimension 1
b1_gravitational,single_head_final_output,soft_gating,elbo,nll,0.5,none,,,,,,,,The size of tensor a (7) must match the size of tensor b (32) at non-singleton dimension 1
b1_gravitational,single_head_final_output,ste,none,nll,0.5,none,,,,,,,,The size of tensor a (7) must match the size of tensor b (32) at non-singleton dimension 1
b1_gravitational,single_head_final_output,ste,elbo,nll,0.5,none,,,,,,,,The size of tensor a (7) must match the size of tensor b (32) at non-singleton dimension 1
b1_gravitational,single_head_final_output,reinforce,none,nll,0.5,none,,,,,,,,The size of tensor a (7) must match the size of tensor b (32) at non-singleton dimension 1
b1_gravitational,single_head_final_output,reinforce,elbo,nll,0.5,none,,,,,,,,The size of tensor a (7) must match the size of tensor b (32) at non-singleton dimension 1
