dataset,cell,k_max,dynamic,k_reg,mse_mean,mse_std,nll_gaussian_mean,nll_gaussian_std,nll_mdn_mean,nll_mdn_std,effective_k_mean,effective_k_std,bypass_fraction_mean,bypass_fraction_std,effective_k_nobypass_mean,effective_k_nobypass_std,max_p_mid_mean,max_p_mid_std,sum_p_mid_mean,sum_p_mid_std,wall_time_s_mean,wall_time_s_std
bimodal,B,20,NONE,NONE,2.3803956,0.13744601445040153,1.852168,0.02470700568664689,2.0227408000000002,0.2895265176364681,20.0,0.0,0.0,0.0,20.0,0.0,0.21566000000000002,0.2315928064513231,0.2987,0.2261368280488607,19.240000000000002,4.6565008321700105
bimodal,B,20,SOFT_GATING,NONE,2.304647,0.046129251809453806,1.8375278000000002,0.010382546012419015,,,13.588659999999999,2.163204218977025,0.17939999999999998,0.15639504467853194,11.6751,0.7413175264351978,0.39876,0.13723036471568528,0.59964,0.1306297936919446,191.64000000000001,89.8250688839146
bimodal,C,20,NONE,NONE,2.3833872,0.08387942236746744,1.8602198,0.019564713892618015,1.4217662,0.16878724922872576,20.0,0.0,0.0,0.0,20.0,0.0,0.21144,0.01304657043057676,0.38646,0.033774368980041644,37.0,5.7536944652979285
bimodal,C,20,SOFT_GATING,NONE,2.3151710000000003,0.0568147649955538,1.840257,0.013272551243073012,,,12.689240000000002,3.2789829891294042,0.25198,0.24085381873659387,9.84554,2.2770080430248814,0.3015,0.17956345674997462,0.46803999999999996,0.23270313276791096,135.42000000000002,69.24421997538855
exponential,B,20,NONE,NONE,1.687993,1.5087417580402884,1.0650154,0.13225988638018701,2.3451826000000002,0.4012332884941127,20.0,0.0,0.0,0.0,20.0,0.0,0.32565999999999995,0.3645894033018513,0.32754000000000005,0.3629319192355503,21.52,2.7743467699622553
exponential,B,20,SOFT_GATING,NONE,0.33677039999999997,0.05182485179235925,0.8883312,0.08538840248944818,,,13.6279,3.0550082217565304,0.33907999999999994,0.23071813322753806,9.93776,2.714890013057619,0.33853999999999995,0.27088929103971604,0.34862000000000004,0.2816727569361297,189.52,38.35097130451848
exponential,C,20,NONE,NONE,0.38622,0.07187390583862824,1.0356136,0.074378277765084,4.785182799999999,4.374321516870553,20.0,0.0,0.0,0.0,20.0,0.0,0.17568,0.022932226232967444,0.43748,0.04225809981530168,18.119999999999997,2.759891302207389
exponential,C,20,SOFT_GATING,NONE,0.4768776,0.28966640862775234,0.933793,0.11898101127280772,,,13.052879999999998,4.4179457043970105,0.5024,0.29014343866439574,6.66302,2.0811565118942883,0.14142000000000002,0.10611209638867757,0.27774,0.15448793804048264,163.74,37.48016808927089
heteroscedastic,B,20,NONE,NONE,1.9485047999999998,0.2577131929950425,1.5527126,0.12890328507567214,3.1260152000000003,0.7436555314012663,20.0,0.0,0.0,0.0,20.0,0.0,0.18728,0.30070097605428553,0.2097,0.3488682917663914,20.419999999999998,2.510378457523885
heteroscedastic,B,20,SOFT_GATING,NONE,1.8254042,0.11735533998800393,1.4507782,0.09676908653697212,,,12.14348,3.041406027974562,0.15976,0.10716218082887265,10.46126,2.0915024439383285,0.23318,0.148293347794161,0.31070000000000003,0.20472811238322888,96.84,28.047691527111468
heteroscedastic,C,20,NONE,NONE,1.7295714,0.0784604522246718,1.5991826,0.04519275427875575,2.943913,0.5612292745139904,20.0,0.0,0.0,0.0,20.0,0.0,0.09616,0.006953272610792711,0.3734,0.008326163582346916,15.080000000000002,5.521956175124899
heteroscedastic,C,20,SOFT_GATING,NONE,1.7861514,0.16125533136085765,1.4412369999999999,0.10191894579272291,,,12.34754,3.131239029202338,0.22610000000000002,0.12598400692151365,9.84824,2.121494909963255,0.13486,0.052861923915044934,0.36175999999999997,0.12482693219013274,93.4,50.35106751599215
piecewise,B,20,NONE,NONE,0.32574960000000003,0.07445594995566171,0.6132468,0.12415101884277877,2.230362,1.0422291421640446,20.0,0.0,0.0,0.0,20.0,0.0,0.29896,0.19289925608980454,0.35684,0.25426956758526964,13.680000000000001,7.285053191295174
piecewise,B,20,SOFT_GATING,NONE,0.28254260000000003,0.035618007682912296,0.4710838,0.12015000840074878,,,11.536,1.1117602012124732,0.07256,0.08105280994512158,10.65232,1.8355842277051742,0.2756,0.21188927533030075,0.33568000000000003,0.23570274075623301,195.48000000000002,98.65017486046338
piecewise,C,20,NONE,NONE,0.2987238,0.03636210192219366,0.5986882,0.09048627218644827,1.3232320000000002,0.45657122988477933,20.0,0.0,0.0,0.0,20.0,0.0,0.14718,0.010436809857422917,0.39758,0.021173025291629913,20.84,2.7409852243308435
piecewise,C,20,SOFT_GATING,NONE,0.3117026,0.028541118413615132,0.6064608,0.18471596126133763,,,12.779,3.929836011845788,0.3019,0.24762916831423556,8.971680000000001,1.5327913661030321,0.28402000000000005,0.15990388363013577,0.501,0.2366702030252224,85.76,51.83274061826173
