sigma,seed,mse,wall_time_s,effective_k,effective_k_nobypass,bypass_fraction,selection_perplexity,dead_mode_count,mean_max_p,marginal_p
0.1,42,0.012579113245010376,66.39167881011963,8.830146789550781,4.786261081695557,0.8214567303657532,6.715476989746094,3,0.36142054200172424,"[0.3558215796947479, 0.15404196083545685, 0.08540986478328705, 0.06607484817504883, 0.04054175317287445, 0.026603175327181816, 0.044581089168787, 0.11490028351545334, 0.1120254397392273]"
0.1,123,0.01366326492279768,75.64820694923401,8.719403266906738,5.99584436416626,0.6482986211776733,4.910263538360596,5,0.3691294193267822,"[0.14668957889080048, 0.33684298396110535, 0.010239613242447376, 0.004427274223417044, 0.04212281107902527, 0.03644309565424919, 0.0029373716097325087, 0.10546870529651642, 0.3148285746574402]"
0.1,7,0.010794606059789658,53.011465072631836,8.982653617858887,4.613827228546143,0.7742363810539246,3.7845897674560547,7,0.6525023579597473,"[0.02332421950995922, 0.09346800297498703, 0.6511179208755493, 0.048080381006002426, 0.04958995059132576, 0.04129643738269806, 0.015547423623502254, 0.04485013708472252, 0.03272559493780136]"
0.5,42,0.2849864065647125,70.97175788879395,8.71665096282959,6.150122165679932,0.757012665271759,8.600143432617188,1,0.22137299180030823,"[0.1123570129275322, 0.1373995691537857, 0.11077985912561417, 0.10173064470291138, 0.06582919508218765, 0.05413011461496353, 0.11596556752920151, 0.15825387835502625, 0.1435541808605194]"
0.5,123,0.27214476466178894,56.744657039642334,9.525090217590332,8.6128511428833,0.7228865027427673,3.9485206604003906,6,0.5891587138175964,"[0.02720668725669384, 0.0733073353767395, 0.004677869379520416, 0.009320070967078209, 0.05359680578112602, 0.04559776186943054, 0.025753408670425415, 0.17898903787136078, 0.5815510153770447]"
0.5,7,0.26844340562820435,80.82993578910828,7.173497200012207,4.9176344871521,0.4141310155391693,6.229822158813477,2,0.44033709168434143,"[0.0861995741724968, 0.10906215012073517, 0.4332473874092102, 0.08734825998544693, 0.07730769366025925, 0.05459968000650406, 0.0270838625729084, 0.06591125577688217, 0.0592401921749115]"
1.0,42,1.1465418338775635,69.86758923530579,8.97794246673584,6.827093601226807,0.7630625367164612,8.37408447265625,1,0.22205638885498047,"[0.04674191772937775, 0.08302570879459381, 0.10499022156000137, 0.1043042466044426, 0.0711621642112732, 0.0982576385140419, 0.15056167542934418, 0.18578357994556427, 0.1551728993654251]"
1.0,123,1.0235379934310913,32.40286588668823,9.407912254333496,6.788216590881348,0.6358513236045837,4.754820823669434,6,0.5800351500511169,"[0.29040107131004333, 0.04862678050994873, 0.0051353066228330135, 0.0050382898189127445, 0.038943447172641754, 0.054544396698474884, 0.02274557203054428, 0.12728634476661682, 0.407278835773468]"
1.0,7,1.0818390846252441,65.15543746948242,5.9709601402282715,5.796010494232178,0.06818758696317673,3.605480909347534,6,0.7235128283500671,"[0.014866838231682777, 0.019968239590525627, 0.5947359800338745, 0.003518778132274747, 0.04453720897436142, 0.02703532949090004, 0.014080213382840157, 0.07185228168964386, 0.20940513908863068]"
2.0,42,4.660320281982422,93.85381579399109,7.674414157867432,7.610574245452881,0.027373606339097023,6.373195648193359,4,0.2767966687679291,"[0.018754085525870323, 0.013619032688438892, 0.029597027227282524, 0.014710135757923126, 0.2073410600423813, 0.16449593007564545, 0.17743194103240967, 0.21521127223968506, 0.15883950889110565]"
2.0,123,4.339606285095215,16.874805212020874,5.347046852111816,4.132656097412109,0.1982892006635666,4.833331108093262,5,0.5438430309295654,"[0.45154768228530884, 0.006038413383066654, 0.18431316316127777, 0.08704662322998047, 0.02758648805320263, 0.1714991182088852, 0.0091206980869174, 0.028496796265244484, 0.034351058304309845]"
2.0,7,4.233456611633301,75.29907703399658,5.068225383758545,5.016276836395264,0.014508224092423916,3.667011260986328,7,0.6959694623947144,"[0.5568003058433533, 0.008397969417273998, 0.011541992425918579, 0.007878663949668407, 0.019325023517012596, 0.05458730086684227, 0.04066957160830498, 0.039488937705755234, 0.26131030917167664]"
