dataset,ordering_weight,mse_mean,mse_std,nll_gaussian_mean,nll_gaussian_std,effective_k_mean,effective_k_std,bypass_fraction_mean,bypass_fraction_std,effective_k_nobypass_mean,effective_k_nobypass_std,wall_time_s_mean,wall_time_s_std
bimodal,0.0,2.3280978,0.0834290173542754,1.8432724,0.018945313821628815,6.9827200000000005,0.8251420041423174,0.23408,0.09123742105079471,6.192480000000001,1.1852351273059705,24.18,19.08630399003432
bimodal,0.3,2.3280978,0.0834290173542754,1.8432724,0.018945313821628815,6.9827200000000005,0.8251420041423174,0.23408,0.09123742105079471,6.192480000000001,1.1852351273059705,24.14,19.1440068951095
bimodal,1.0,2.3280978,0.0834290173542754,1.8432724,0.018945313821628815,6.9827200000000005,0.8251420041423174,0.23408,0.09123742105079471,6.192480000000001,1.1852351273059705,24.080000000000002,19.070448342920518
bimodal,3.0,2.3280978,0.0834290173542754,1.8432724,0.018945313821628815,6.9827200000000005,0.8251420041423174,0.23408,0.09123742105079471,6.192480000000001,1.1852351273059705,24.080000000000002,19.0205678148682
exponential,0.0,0.33763560000000004,0.042491147275638484,0.8944816,0.06414674380901968,7.08938,2.098679643728408,0.46243999999999996,0.33665349099630615,4.24706,0.8411030513557777,53.6,7.442109915877352
exponential,0.3,0.33763560000000004,0.042491147275638484,0.8944816,0.06414674380901968,7.08938,2.098679643728408,0.46243999999999996,0.33665349099630615,4.24706,0.8411030513557777,53.64,7.4915285489678265
exponential,1.0,0.33763560000000004,0.042491147275638484,0.8944816,0.06414674380901968,7.08938,2.098679643728408,0.46243999999999996,0.33665349099630615,4.24706,0.8411030513557777,53.67999999999999,7.2799038455188425
exponential,3.0,0.33763560000000004,0.042491147275638484,0.8944816,0.06414674380901968,7.08938,2.098679643728408,0.46243999999999996,0.33665349099630615,4.24706,0.8411030513557777,53.56,7.54539594719853
heteroscedastic,0.0,1.8019268,0.14499052721712552,1.4286872000000002,0.08120489773221816,6.721639999999999,0.9022870624141743,0.3029,0.19461341166528068,5.2697400000000005,1.2714713299952933,48.9,7.444796840747235
heteroscedastic,0.3,1.8019268,0.14499052721712552,1.4286872000000002,0.08120489773221816,6.721639999999999,0.9022870624141743,0.3029,0.19461341166528068,5.2697400000000005,1.2714713299952933,48.22,7.630661832370768
heteroscedastic,1.0,1.8019268,0.14499052721712552,1.4286872000000002,0.08120489773221816,6.721639999999999,0.9022870624141743,0.3029,0.19461341166528068,5.2697400000000005,1.2714713299952933,45.88,6.773625321790393
heteroscedastic,3.0,1.8019268,0.14499052721712552,1.4286872000000002,0.08120489773221816,6.721639999999999,0.9022870624141743,0.3029,0.19461341166528068,5.2697400000000005,1.2714713299952933,45.9,6.60189366772898
piecewise,0.0,0.2735052,0.037389042187517985,0.45967640000000004,0.08804383342006411,6.4849000000000006,1.0057985384757722,0.25986000000000004,0.19369845895102009,5.52582,0.5706609299750597,48.18,27.760889755193364
piecewise,0.3,0.2735052,0.037389042187517985,0.45967640000000004,0.08804383342006411,6.4849000000000006,1.0057985384757722,0.25986000000000004,0.19369845895102009,5.52582,0.5706609299750597,48.339999999999996,27.818842535231404
piecewise,1.0,0.2735052,0.037389042187517985,0.45967640000000004,0.08804383342006411,6.4849000000000006,1.0057985384757722,0.25986000000000004,0.19369845895102009,5.52582,0.5706609299750597,48.160000000000004,27.67007408736016
piecewise,3.0,0.2735052,0.037389042187517985,0.45967640000000004,0.08804383342006411,6.4849000000000006,1.0057985384757722,0.25986000000000004,0.19369845895102009,5.52582,0.5706609299750597,48.08,27.56396197936719
